"1","2","3","4","5","6"
135,175,194,160,160,160
128,141,171,160,160,160
135,175,194,160,160,160
128,142,171,160,160,160
135,175,194,160,160,160
128,142,171,160,160,160
135,175,194,160,160,160
128,142,171,160,160,160
148,166,187,160,160,160
148,166,187,160,160,160
148,166,187,160,160,160
148,166,187,160,160,160
121,155,160,160,160,160
144,158,186,160,160,160
121,155,160,160,160,160
144,160,160,160,160,160
121,155,160,160,160,160
144,158,186,160,160,160
142,148,170,172,192,195
148,170,195,160,160,160
142,148,170,172,192,195
148,170,195,160,160,160
148,170,195,160,160,160
142,148,170,172,192,195
142,148,170,172,192,195
142,172,192,160,160,160
142,172,192,160,160,160
143,163,179,160,160,160
143,163,179,160,160,160
143,163,179,160,160,160
143,163,179,160,160,160
132,161,182,160,160,160
132,161,182,160,160,160
134,161,182,160,160,160
134,161,182,160,160,160
134,161,182,160,160,160
146,160,177,160,160,160
134,139,158,161,179,182
146,160,177,160,160,160
134,158,161,183,160,160
146,160,177,160,160,160
134,158,162,179,183,160
146,160,160,160,160,160
134,158,162,175,183,160
143,161,196,160,160,160
140,162,183,160,160,160
161,196,160,160,160,160
140,160,160,160,160,160
143,161,196,160,160,160
140,162,183,160,160,160
143,161,196,160,160,160
140,162,183,160,160,160
143,161,196,160,160,160
140,183,160,160,160,160
143,161,196,160,160,160
140,162,183,160,160,160
143,161,196,160,160,160
141,162,183,160,160,160
135,160,172,160,160,160
135,160,172,160,160,160
135,160,172,160,160,160
135,173,160,160,160,160
136,173,160,160,160,160
136,173,160,160,160,160
144,158,186,160,160,160
144,158,186,160,160,160
144,158,186,160,160,160
144,158,186,160,160,160
158,186,160,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
137,151,186,160,160,160
139,161,181,160,160,160
139,161,181,160,160,160
139,160,160,160,160,160
161,181,160,160,160,160
139,161,181,160,160,160
139,161,181,160,160,160
139,161,181,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
139,161,181,160,160,160
139,161,181,160,160,160
123,167,182,160,160,160
123,167,182,160,160,160
123,167,182,160,160,160
123,167,182,160,160,160
123,167,182,160,160,160
153,186,194,160,160,160
142,153,186,194,160,160
153,186,191,160,160,160
153,186,191,160,160,160
142,186,191,194,160,160
153,186,191,160,160,160
178,186,191,160,160,160
142,178,186,194,160,160
178,186,191,160,160,160
142,178,186,194,160,160
142,178,186,194,160,160
142,178,186,194,160,160
142,178,191,194,160,160
153,186,194,160,160,160
142,178,191,195,160,160
142,178,191,195,160,160
142,178,191,195,160,160
142,178,191,195,160,160
142,178,191,195,160,160
154,173,187,160,160,160
154,160,160,160,160,160
154,173,187,160,160,160
154,173,187,160,160,160
154,160,160,160,160,160
143,157,175,160,160,160
139,159,176,160,160,160
143,157,175,160,160,160
139,159,176,160,160,160
143,157,175,160,160,160
139,159,177,160,160,160
143,157,175,160,160,160
139,160,177,160,160,160
143,157,175,160,160,160
139,160,177,160,160,160
143,157,175,160,160,160
139,160,177,160,160,160
143,157,175,160,160,160
139,160,177,160,160,160
143,157,175,160,160,160
139,160,176,160,160,160
143,157,175,160,160,160
139,159,176,160,160,160
143,157,175,160,160,160
139,159,176,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
149,170,192,160,160,160
136,159,177,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
150,162,195,160,160,160
119,148,164,160,160,160
119,148,164,160,160,160
138,154,168,160,160,160
119,148,164,160,160,160
138,154,168,160,160,160
143,158,171,160,160,160
129,147,174,160,160,160
124,138,154,160,160,160
143,158,171,160,160,160
129,147,174,160,160,160
143,158,171,160,160,160
129,147,174,160,160,160
119,148,164,160,160,160
124,138,154,160,160,160
143,158,171,160,160,160
143,158,171,160,160,160
143,158,171,160,160,160
129,147,174,160,160,160
142,158,170,160,160,160
129,147,174,160,160,160
142,158,171,160,160,160
129,147,174,160,160,160
119,148,164,160,160,160
124,138,154,160,160,160
119,148,160,160,160,160
143,157,170,160,160,160
143,157,170,160,160,160
143,155,186,160,160,160
143,155,186,160,160,160
144,155,186,160,160,160
144,155,187,160,160,160
144,154,155,187,160,160
144,154,187,160,160,160
154,187,160,160,160,160
144,155,187,160,160,160
141,157,169,160,160,160
141,157,169,160,160,160
141,157,169,160,160,160
141,157,169,160,160,160
141,157,169,160,160,160
141,157,169,160,160,160
141,157,168,160,160,160
141,156,168,160,160,160
141,156,168,160,160,160
141,156,168,160,160,160
144,155,187,160,160,160
119,148,164,160,160,160
119,148,164,160,160,160
144,159,160,160,160,160
145,159,170,160,160,160
145,159,170,160,160,160
145,159,184,160,160,160
129,147,174,160,160,160
119,148,164,160,160,160
145,159,170,184,160,160
129,147,174,160,160,160
145,159,170,160,160,160
129,147,174,160,160,160
119,148,164,160,160,160
145,158,169,160,160,160
145,158,169,160,160,160
145,158,169,160,160,160
145,158,169,160,160,160
144,155,186,160,160,160
137,176,196,160,160,160
137,176,196,160,160,160
137,176,196,160,160,160
139,159,182,160,160,160
139,159,182,160,160,160
139,159,182,160,160,160
139,159,182,160,160,160
154,168,190,160,160,160
146,167,160,160,160,160
154,168,190,160,160,160
146,167,160,160,160,160
154,168,190,160,160,160
146,167,160,160,160,160
154,168,190,160,160,160
146,167,160,160,160,160
154,170,193,160,160,160
129,155,165,160,160,160
154,170,193,160,160,160
128,154,165,160,160,160
154,170,193,160,160,160
128,154,165,160,160,160
154,170,193,160,160,160
128,154,165,160,160,160
139,160,180,160,160,160
137,159,173,160,160,160
139,160,180,160,160,160
137,159,173,160,160,160
139,160,180,160,160,160
138,158,160,160,160,160
139,160,180,160,160,160
138,158,174,160,160,160
154,170,193,160,160,160
128,154,165,160,160,160
154,170,193,160,160,160
146,168,188,160,160,160
131,154,178,160,160,160
146,168,188,160,160,160
131,154,178,160,160,160
146,168,188,160,160,160
131,154,178,160,160,160
146,168,188,160,160,160
146,168,188,160,160,160
132,154,178,160,160,160
132,154,178,160,160,160
132,154,178,160,160,160
132,154,178,160,160,160
129,157,174,160,160,160
129,157,175,160,160,160
139,161,182,160,160,160
130,146,174,160,160,160
139,161,182,160,160,160
129,157,175,160,160,160
139,161,182,160,160,160
130,146,174,160,160,160
129,156,174,160,160,160
139,161,182,160,160,160
130,146,174,160,160,160
139,161,182,160,160,160
130,146,174,160,160,160
139,161,182,160,160,160
130,157,175,160,160,160
130,157,175,160,160,160
140,161,182,160,160,160
130,147,175,160,160,160
140,161,182,160,160,160
130,146,175,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
134,150,161,160,160,160
134,150,161,160,160,160
147,167,181,160,160,160
150,161,160,160,160,160
140,166,196,160,160,160
140,166,196,160,160,160
140,166,196,160,160,160
140,166,196,160,160,160
140,166,196,160,160,160
138,158,180,160,160,160
140,166,196,160,160,160
140,196,160,160,160,160
140,166,196,160,160,160
140,166,196,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,170,187,160,160,160
128,159,181,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
154,175,189,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
154,175,189,160,160,160
154,175,189,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
154,175,189,160,160,160
140,160,160,160,160,160
138,158,180,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
147,172,194,160,160,160
122,152,177,160,160,160
121,152,177,160,160,160
121,152,176,160,160,160
121,153,176,160,160,160
121,153,176,160,160,160
121,153,176,160,160,160
